Timestamp,Location (Lat:Long),Temperature (°C),Heat Intensity,Humidity (%),Emissivity,Wind Direction (degrees),Wind Speed (m/s)
17-09-2023 16:49,-60.0681:-39.9482,6.9,165.45,30.51,0.99,103,0.55
17-09-2023 16:49,-47.6362:142.2068,39.69,297.33,43.55,0.83,286,8.09
17-09-2023 16:49,-22.9167:61.1059,12.8,197.29,40.37,0.83,311,9.58
17-09-2023 16:49,31.4724:-167.5905,33.17,178.67,60.12,0.97,117,0.4
17-09-2023 16:49,44.1741:67.0623,31.01,258.86,66.15,0.8,196,8.55
17-09-2023 16:49,42.6619:-170.428,21.28,205.03,66.15,0.81,66,1.49
17-09-2023 16:49,-74.0118:-140.2068,8.89,128.52,48.34,0.88,176,7.25
17-09-2023 16:49,17.3731:60.6746,22.78,145.76,47.73,0.84,325,8.72
17-09-2023 16:49,-32.564:124.942,34.7,288.62,20.18,0.93,103,8.84
17-09-2023 16:49,34.8427:38.9489,9.81,133.96,61.82,0.98,253,6.54
17-09-2023 16:49,14.7955:174.9014,33.22,187.4,73.36,0.86,199,5.16
17-09-2023 16:49,-42.1313:7.7726,11.62,207.9,70.08,0.92,298,8.15
17-09-2023 16:49,8.6729:138.1902,32.61,169.63,64.6,0.8,194,1.85
17-09-2023 16:49,46.4908:-66.5774,2.4,281.21,64.9,0.83,229,0.86
17-09-2023 16:49,-71.1399:-144.4585,24.35,194.62,63.02,0.81,243,7.04
17-09-2023 16:49,-1.08:-46.5707,27.49,145.41,35.84,0.96,38,4.63
17-09-2023 16:49,76.5372:12.8911,37.79,204.98,49.05,0.98,319,0.15
17-09-2023 16:49,-65.6111:158.3043,22.58,136.18,34.88,0.83,133,8.94
17-09-2023 16:49,-79.4495:54.1674,24.57,243.7,71.62,0.8,204,8.04
17-09-2023 16:49,-17.7586:35.2967,1.73,147.46,72.73,0.9,103,9.52
17-09-2023 16:49,-44.6323:-42.2472,20.64,169.25,50.21,0.94,244,0.4
17-09-2023 16:49,29.7817:52.8736,30.81,203.66,35.83,0.93,254,6.58
17-09-2023 16:49,30.7091:-25.107,8,216.55,22.28,0.9,202,6.13
17-09-2023 16:49,-14.1061:163.9356,2.48,239.29,39.99,0.85,35,6.16
17-09-2023 16:49,51.8155:-151.1346,28.29,239.4,20.16,0.91,141,6.74
17-09-2023 16:49,-11.7379:-47.213,37.43,128.13,70.65,0.98,143,3.36
17-09-2023 16:49,-35.9542:147.1125,36.6,266.38,37.27,0.98,19,0.86
17-09-2023 16:49,-64.4639:-152.3642,17.32,116.27,58.91,0.82,214,5.2
17-09-2023 16:49,-17.2013:-43.8524,35.97,155.05,43.03,0.86,40,5.32
17-09-2023 16:49,-47.9823:129.3778,8.08,166.28,28.62,0.9,154,3.27
17-09-2023 16:49,-8.1502:74.2945,31.61,220.7,42.04,0.94,355,7.55
17-09-2023 16:49,57.2401:175.4894,16.05,242.59,44.87,0.84,328,0.28
17-09-2023 16:49,-38.0324:-109.3029,25.79,150.58,33.16,0.81,6,5.84
17-09-2023 16:49,12.9412:36.064,36.65,232.86,61.45,0.99,151,6.72
17-09-2023 16:49,38.5801:157.7036,36.49,188.74,57.76,0.95,280,9.56
17-09-2023 16:49,62.0702:1.7223,10.27,132.72,73.75,0.83,321,5.7
17-09-2023 16:49,-26.1451:-90.1254,3.98,159.19,21.35,0.83,329,7.95
17-09-2023 16:49,78.9499:-150.4063,4.79,264.33,41.93,0.97,154,6.72
17-09-2023 16:49,81.2036:-53.5232,21.24,194.3,30.66,0.81,16,3.59
17-09-2023 16:49,56.0452:-62.5624,14.01,109.27,76.68,0.98,60,5.03
17-09-2023 16:49,12.9933:160.8948,30.26,141.6,50.29,0.82,29,1.52
17-09-2023 16:49,-33.6106:99.9166,30.06,181.66,51.66,0.85,69,0.63
17-09-2023 16:49,57.0642:87.0245,23.36,168.49,67.09,0.84,8,8.79
17-09-2023 16:49,-61.2794:-137.8011,11.88,217.26,28.8,0.99,333,8.3
17-09-2023 16:49,-39.6421:-81.7263,15.53,132.42,69.82,0.82,214,9.31
17-09-2023 16:49,13.4411:12.58,16.38,233.57,42.1,0.86,337,4.67
17-09-2023 16:49,-6.5881:-177.5609,14.82,214.9,47.59,0.94,315,3.75
17-09-2023 16:49,77.61:-108.5112,5.5,196.01,53.79,0.87,33,0.88
17-09-2023 16:49,42.5259:-54.9778,36.76,149.96,37.51,0.85,113,7.98
17-09-2023 16:49,-72.3548:123.452,13.26,240.71,75.4,0.91,12,9.01
17-09-2023 16:49,36.3128:-125.6302,14.92,282.48,40.19,0.86,268,9.24
17-09-2023 16:49,27.9693:-85.0022,24.35,270.49,70.44,0.93,289,7.93
17-09-2023 16:49,12.8588:100.401,20.05,271.27,22.41,0.84,132,5.09
17-09-2023 16:49,-24.3488:-169.1615,16.87,200.68,29.31,0.83,330,9.85
17-09-2023 16:49,-30.8879:113.6527,6.72,173.69,44.52,0.9,62,3.02
17-09-2023 16:49,35.3566:88.3541,17.97,207.99,58.59,0.87,121,0.94
17-09-2023 16:49,-46.7076:52.3153,19.47,294.85,74.77,0.83,52,6.62
17-09-2023 16:49,-11.4182:-155.8284,6.19,204.51,63.96,0.82,294,9.63
17-09-2023 16:49,62.8374:-179.9713,14.79,270.39,26.4,0.84,28,1.02
17-09-2023 16:49,1.9245:84.3583,6.79,120.87,69.17,0.88,74,0.66
17-09-2023 16:49,22.6336:-155.5292,11.63,222.57,52.07,0.98,184,5.3
